Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,AcadOrg,Instructor,Capacity,Room,MtgStart,MtgEnd,Days,StartDate,EndDate,Term,Campus,ClassNbr,TotalCredits,DUP,FULL,OVER
MTH,154,D01,DED,5W1,3,3,16,28,STEM,"Maule,Amanda Lynne",30,TUAL, , , ,5/16/2022,6/18/2022,2223,MAIN,35553,48,,,
MTH,154,D02,DED,5W2,3,3,6,28,STEM,"Maule,Amanda Lynne",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35554,18,,,
MTH,154,D03,DED,8W1,3,3,19,32,STEM,"Maule,Amanda Lynne",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35555,57,,,
MTH,161,01W,LEC,8W1,3,3,0,28,STEM,"Maule,Amanda Lynne",40,328,8:00:00 AM,10:45:00 AM,MW,5/23/2022,7/18/2022,2223,HT,35560,0,,,
BIO,150,DJ01,DED,8W1,4,4,18,30,STEM,"Mead,Jaime Ann",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41193,72,,,
BIO,150,DJ1L,LAB,8W1,0,0,18,30,STEM,"Mead,Jaime Ann",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41194,0,,,
ITE,119,B01H,LEC,8W1,3,3,4,24,STEM,"Meranda,Toni M",25,428,11:00:00 AM,1:45:00 PM,W,5/23/2022,7/18/2022,2223,MAIN,35309,12,,,
ITE,119,D01,DED,8W1,3,3,15,24,STEM,"Meranda,Toni M",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35239,45,,,
PHY,242,D01,DED,8W1,4,4,21,24,STEM,"Michaels,Robert Williams",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35401,84,,,
PHY,242,D01L,LAB,8W1,0,0,21,24,STEM,"Michaels,Robert Williams",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35402,0,,,
PHY,242,D02,DED,8W1,4,4,13,24,STEM,"Michaels,Robert Williams",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,41340,52,,,
CAD,211,D01,DED,8W1,3,3,1,24,STEM,"Middleton,Maury E",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,40533,3,,,
EGR,121,51H,LEC,8W1,2,2,2,24,STEM,"Mohammed,Yousuf Shaker",24,418,5:00:00 PM,6:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,40950,4,,,
EGR,122,D01,DED,8W1,3,3,8,24,STEM,"Mohammed,Yousuf Shaker",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,39010,24,,,
MAC,198,X01H,LEC,5W1,3,3,4,12,STEM,"Morris Jr.,Edward W",20,1120,7:40:00 AM,10:00:00 AM,MTWRF,5/16/2022,6/18/2022,2223,MAIN,40531,12,,,
MEC,100,Z01H,LEC,DYN,2,2,0,25,STEM,"Morris Jr.,Edward W",25,NLRC,8:00:00 AM,5:00:00 PM,MTWRF,6/25/2022,7/29/2022,2223,MAIN,36747,0,,,
MEC,100,Z02H,LEC,DYN,2,2,0,25,STEM,"Morris Jr.,Edward W",25,NLRC,8:00:00 AM,5:00:00 PM,MTWRF,6/25/2022,7/29/2022,2223,MAIN,36749,0,,,
CHM,101,D01,DED,8W1,4,4,26,29,STEM,"Olagunju,Olufunke Modupe",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35431,104,,,
CHM,101,D01L,LAB,8W1,0,0,26,29,STEM,"Olagunju,Olufunke Modupe",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35432,0,,,
